Country,Locality,Site,Strata,Ascophyllum.nodosum,Chondrus.crispus,Dynamena,Hildenbrandia,Mastocarpus.stellatus,Mytilus.edulis,Semibalanus.balanoides,Vertebrata.lanosa,Ulva.intestinalis,Ulva.lactuca
USA,Massachusetts,Marblehead,hightide,44,4,40,,16,,8,,,
USA,Massachusetts,Marblehead,hightide,84,12,8,,,,20,4,,
USA,Massachusetts,Marblehead,hightide,20,10,,80,,12,60,4,,
USA,Massachusetts,Marblehead,hightide,48,8,16,12,,4,12,2,,
USA,Massachusetts,Marblehead,hightide,35,8,,18,,4,25,,,
USA,Massachusetts,Marblehead,midtide,,,65,85,,3,30,,,
USA,Massachusetts,Marblehead,midtide,,,58,75,20,,55,,,
USA,Massachusetts,Marblehead,midtide,,3,25,82,25,8,40,,,
USA,Massachusetts,Marblehead,midtide,,4,60,80,16,,40,,,
USA,Massachusetts,Marblehead,midtide,,,92,20,,,32,,,
USA,Massachusetts,Pumphouse,hightide,,,60,,,,90,,,3
USA,Massachusetts,Pumphouse,hightide,,,64,8,,2,92,,,
USA,Massachusetts,Pumphouse,hightide,,,42,8,,12,30,,,
USA,Massachusetts,Pumphouse,hightide,,,28,,,,50,,,
USA,Massachusetts,Pumphouse,hightide,,,30,6,,12,30,,,2
USA,Massachusetts,Pumphouse,midtide,,,18,1,,6,20,,,
USA,Massachusetts,Pumphouse,midtide,,,5,,,1,10,,,
USA,Massachusetts,Pumphouse,midtide,,,72,1,,13,20,,,
USA,Massachusetts,Pumphouse,midtide,,,46,,,8,28,,1,
USA,Massachusetts,Pumphouse,midtide,,,58,,,19,39,,10,
