"","Country","Locality","Site","Strata","Pyropia endiviifolia","Ulothrix","Urospora penicilliformis","Coscinodiscophycidae","Adenocystis utricularis","Iridaea cordata","Ascoseira mirabilis","Nacella concinna","Corallinales","Gigartina skottsbergii","Curdiea racovitzae","Desmarestia antarctica","Myriogramme","Trematocarpus antarcticus","Phaeurus antarcticus","Echinodermata","Lithothamniaceae","Monostroma hariotii"
"1","CHILE","ANTARTICA","ARTIGAS","hightide",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","CHILE","ANTARTICA","ARTIGAS","hightide",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","CHILE","ANTARTICA","ARTIGAS","hightide",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","CHILE","ANTARTICA","ARTIGAS","hightide",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","CHILE","ANTARTICA","ARTIGAS","hightide",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","CHILE","ANTARTICA","ARTIGAS","hightide",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","CHILE","ANTARTICA","ARTIGAS","hightide",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","CHILE","ANTARTICA","ARTIGAS","hightide",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","CHILE","ANTARTICA","ARTIGAS","hightide",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","CHILE","ANTARTICA","ARTIGAS","lowtide",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"11","CHILE","ANTARTICA","ARTIGAS","lowtide",0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0
"12","CHILE","ANTARTICA","ARTIGAS","lowtide",0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
"13","CHILE","ANTARTICA","ARTIGAS","lowtide",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"14","CHILE","ANTARTICA","ARTIGAS","lowtide",0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0
"15","CHILE","ANTARTICA","ARTIGAS","lowtide",0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
"16","CHILE","ANTARTICA","ARTIGAS","lowtide",0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
"17","CHILE","ANTARTICA","ARTIGAS","lowtide",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"18","CHILE","ANTARTICA","ARTIGAS","lowtide",0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"19","CHILE","ANTARTICA","ARTIGAS","lowtide",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"20","CHILE","ANTARTICA","ARTIGAS","midtide",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
"21","CHILE","ANTARTICA","ARTIGAS","midtide",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"22","CHILE","ANTARTICA","ARTIGAS","midtide",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"23","CHILE","ANTARTICA","ARTIGAS","midtide",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"24","CHILE","ANTARTICA","ARTIGAS","midtide",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"25","CHILE","ANTARTICA","ARTIGAS","midtide",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"26","CHILE","ANTARTICA","ARTIGAS","midtide",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"27","CHILE","ANTARTICA","ARTIGAS","midtide",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"28","CHILE","ANTARTICA","ARTIGAS","midtide",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"29","CHILE","ANTARTICA","ARTIGAS","midtide",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"30","CHILE","ANTARTICA","PUNTACRISTIAN","hightide",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","CHILE","ANTARTICA","PUNTACRISTIAN","hightide",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","CHILE","ANTARTICA","PUNTACRISTIAN","hightide",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","CHILE","ANTARTICA","PUNTACRISTIAN","hightide",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","CHILE","ANTARTICA","PUNTACRISTIAN","hightide",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","CHILE","ANTARTICA","PUNTACRISTIAN","hightide",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","CHILE","ANTARTICA","PUNTACRISTIAN","hightide",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","CHILE","ANTARTICA","PUNTACRISTIAN","hightide",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","CHILE","ANTARTICA","PUNTACRISTIAN","hightide",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","CHILE","ANTARTICA","PUNTACRISTIAN","hightide",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","CHILE","ANTARTICA","PUNTACRISTIAN","lowtide",0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"41","CHILE","ANTARTICA","PUNTACRISTIAN","lowtide",0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"42","CHILE","ANTARTICA","PUNTACRISTIAN","lowtide",0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"43","CHILE","ANTARTICA","PUNTACRISTIAN","lowtide",0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0
"44","CHILE","ANTARTICA","PUNTACRISTIAN","lowtide",0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0
"45","CHILE","ANTARTICA","PUNTACRISTIAN","lowtide",0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0
"46","CHILE","ANTARTICA","PUNTACRISTIAN","lowtide",0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"47","CHILE","ANTARTICA","PUNTACRISTIAN","lowtide",0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1
"48","CHILE","ANTARTICA","PUNTACRISTIAN","lowtide",0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"49","CHILE","ANTARTICA","PUNTACRISTIAN","lowtide",0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"50","CHILE","ANTARTICA","PUNTACRISTIAN","midtide",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"51","CHILE","ANTARTICA","PUNTACRISTIAN","midtide",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"52","CHILE","ANTARTICA","PUNTACRISTIAN","midtide",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"53","CHILE","ANTARTICA","PUNTACRISTIAN","midtide",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","CHILE","ANTARTICA","PUNTACRISTIAN","midtide",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"55","CHILE","ANTARTICA","PUNTACRISTIAN","midtide",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
"56","CHILE","ANTARTICA","PUNTACRISTIAN","midtide",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","CHILE","ANTARTICA","PUNTACRISTIAN","midtide",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","CHILE","ANTARTICA","PUNTACRISTIAN","midtide",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"59","CHILE","ANTARTICA","PUNTACRISTIAN","midtide",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
